Fecha,Edificio,Consumo_kWh,Temperatura,Personas
2026-09-01,Ingeniería,495,23,360
2026-09-01,Biblioteca,355,22,190
2026-09-01,Administración,250,23,110
2026-09-02,Ingeniería,520,24,368
2026-09-02,Biblioteca,370,23,196
2026-09-02,Administración,260,24,115
2026-09-03,Ingeniería,545,25,376
2026-09-03,Biblioteca,385,24,202
2026-09-03,Administración,270,25,110
2026-09-04,Ingeniería,570,26,384
2026-09-04,Biblioteca,400,25,190
2026-09-04,Administración,280,26,115
2026-09-05,Ingeniería,495,27,360
2026-09-05,Biblioteca,355,26,196
2026-09-05,Administración,250,27,110
2026-09-06,Ingeniería,520,23,368
2026-09-06,Biblioteca,370,22,202
2026-09-06,Administración,260,23,115
2026-09-07,Ingeniería,545,24,376
2026-09-07,Biblioteca,385,23,190
2026-09-07,Administración,270,24,110
2026-09-08,Ingeniería,570,25,384
2026-09-08,Biblioteca,400,24,196
2026-09-08,Administración,280,25,115
2026-09-09,Ingeniería,495,26,360
2026-09-09,Biblioteca,355,25,202
2026-09-09,Administración,250,26,110
2026-09-10,Ingeniería,520,27,368
2026-09-10,Biblioteca,370,26,190
2026-09-10,Administración,260,27,115
2026-09-11,Ingeniería,545,23,376
2026-09-11,Biblioteca,385,22,196
2026-09-11,Administración,270,23,110
2026-09-12,Ingeniería,570,24,384
2026-09-12,Biblioteca,400,23,202
2026-09-12,Administración,280,24,115
